t_us,volt
34694.0,2.528817
34696.0,2.591659
34698.0,2.656113
34700.02,2.710948
34702.0,2.763317
34704.0,2.806825
34705.99,2.8511376
34708.02,2.88986
34710.0,2.925309
34712.0,2.963982
34714.0,2.989764
34716.0,3.014739
34718.02,3.040522
34720.0,3.06308
34722.0,3.082416
34723.99,3.100191
34726.02,3.117916
34728.0,3.13403
34730.0,3.148532
34732.0,3.162229
34734.0,3.175119
34736.02,3.184787
34738.0,3.195261
34740.0,3.204124
34741.99,3.213792
34744.02,3.220237
34746.0,3.2299052
34748.02,3.23474
34750.0,3.241185
34752.0,3.246826
34754.02,3.250854
34756.0,3.2532708
34758.0,3.259715
34760.0,3.26455
34762.0,3.268578
34764.0,3.2718
34766.02,3.274218
34768.0,3.276635
34770.0,3.279052
34772.02,3.280663
34774.0,3.283885
34776.0,3.285497
34778.0,3.28872
34780.0,3.290331
34782.0,3.291137
34784.02,3.291137
34786.0,3.117916
34788.0,2.84872
34790.02,2.596493
34792.0,2.375688
34794.0,2.171801
34796.0,1.983222
34798.0,1.8139804
34800.0,1.65929
34802.02,1.514218
34804.0,1.3860648
34806.0,1.2684368
34808.0,1.15962
34810.0,1.0589104
34812.0,0.9702354
34814.0,0.8888622
34816.0,0.8106614
34818.0,0.74379
34820.02,0.6849756
34822.0,0.6229388
34824.0,0.5705194
34826.0,0.5237902
34828.0,0.4786724
34830.0,0.4383886
34832.0,0.4020827
34834.0,0.3674387
34836.0,0.3384343
34838.02,0.307013
34840.0,0.2836484
34842.0,0.259478
34844.0,0.23853052
34846.0,0.2167772
34848.0,0.1998077
34850.0,0.1853055
34852.0,0.16999768
34853.99,0.15630116
34856.02,0.141799
34858.0,0.1321309
34860.0,0.12165708
34862.0,0.11440604
34864.0,0.1039322
34866.0,0.0942641
34868.0,0.08943008
34870.0,0.08056764
34871.99,0.07412224
34874.02,0.06848246
34876.0,0.0644541
34878.0,0.05800869
34880.0,0.0539803
34882.0,0.0507576
34884.0,0.0475349
34886.0,0.04511786
34888.0,0.0410895
34889.99,0.03706112
34892.02,0.03383841
34894.0,0.03625542
34896.0,0.0306157
34898.0,0.02819868
34900.0,0.02658732
34902.02,0.025781632
34904.0,0.02094758
34906.0,0.01933623
34907.99,0.0644541
34910.02,0.3481025
34912.0,0.606775
34914.0,0.841327
34916.0,1.0540764
34918.0,1.2482944
34920.02,1.4231264
34922.0,1.589951
34924.0,1.735829
34925.99,1.869622
34928.02,1.995307
34930.0,2.107346
34932.0,2.209668
34934.0,2.303176
34936.0,2.388578
34938.02,2.465923
34940.0,2.53929
34942.0,2.60455
34943.99,2.66417
34946.02,2.719005
34948.0,2.767346
34950.02,2.812464
34952.0,2.853554
34954.0,2.893082
34956.02,2.929337
34958.0,2.961564
34960.0,2.991375
34962.0,3.021185
34964.0,3.040522
34966.0,3.063886
34968.02,3.084028
34970.0,3.10422
34972.0,3.121139
34974.02,3.140476
34976.0,3.150144
34978.0,3.163034
34980.0,3.175119
34982.0,3.186399
34984.0,3.197679
