t_us,volt
29200.0,0.04672923
29202.01,0.04511786
29204.01,0.0410895
29206.0,0.03947813
29208.0,0.03625542
29210.0,0.03544975
29212.01,0.03222704
29214.0,0.029004348
29216.01,0.02819868
29218.01,0.05156327
29220.01,0.319098
29222.01,0.5656854
29224.0,0.7897136
29226.0,0.9952114
29228.0,1.1854016
29230.01,1.3594776
29232.0,1.520664
29234.01,1.6633184
29236.01,1.79706
29238.0,1.917157
29240.01,2.029147
29242.01,2.135545
29244.0,2.231421
29246.0,2.316873
29248.01,2.396634
29250.0,2.469951
29252.0,2.537678
29254.01,2.600521
29256.0,2.656919
29258.01,2.710143
29260.01,2.757678
29262.0,2.802797
29264.0,2.842275
29266.01,2.87853
29268.0,2.914835
29270.0,2.942229
29272.01,2.974455
29274.0,3.001849
29276.01,3.02199
29278.01,3.047773
29280.01,3.06872
29282.0,3.086444
29284.0,3.105026
29286.0,3.120333
29288.0,3.136446
29290.01,3.149338
29292.0,3.162229
29294.01,3.173508
29296.01,3.183175
29298.01,3.192845
29300.0,3.204124
29302.0,3.211375
29304.01,3.218626
29306.0,3.226683
29308.01,3.232322
29310.0,3.238768
29312.01,3.242797
29314.01,3.248436
29316.0,3.250048
29318.0,3.258911
29320.0,3.263744
29322.01,3.266967
29324.0,3.27019
29326.01,3.275024
29328.01,3.275024
29330.0,3.27744
29332.01,3.278246
29334.0,3.279857
29336.0,3.284691
29338.0,3.285497
29340.01,3.287914
29342.0,3.107442
29344.01,2.852748
29346.01,2.619857
29348.0,2.406303
29350.01,2.208862
29352.01,2.027535
29354.0,1.863982
29356.0,1.711659
29358.01,1.5722268
29360.0,1.446541
29362.0,1.3288624
29364.01,1.2176288
29366.0,1.122559
29368.01,1.032323
29370.01,0.9492878
29372.0,0.8727484
29374.0,0.8034102
29376.0,0.7341222
29378.0,0.679336
29380.0,0.6253556
29382.01,0.5809932
29384.0,0.5302356
29386.01,0.4891463
29388.01,0.4496682
29390.01,0.4150238
29392.0,0.3811353
29394.0,0.3489082
29396.01,0.3223209
29398.0,0.2973448
29400.01,0.2731746
29402.0,0.2514214
29404.01,0.2320851
29406.01,0.2143602
29408.0,0.1957793
29410.0,0.1820828
29412.0,0.169192
29414.01,0.1587182
29416.0,0.1450217
29418.01,0.1321309
29420.01,0.1208514
29422.01,0.11682304
29424.01,0.10312654
29426.0,0.0974868
29428.0,0.09023572
29430.0,0.0837903
29432.01,0.07653924
29434.0,0.07573358
29436.01,0.06687112
29438.01,0.0612314
29440.0,0.05800869
29442.01,0.0539803
29444.01,0.04592355
29446.0,0.04592355
29448.0,0.04511786
29450.01,0.0410895
29452.0,0.03947813
29454.0,0.03544975
29456.01,0.03383841
29458.0,0.03142138
29460.01,0.029004348
29462.01,0.02819868
29464.0,0.08620734
29466.0,0.3505195
29468.01,0.5963012
29470.0,0.8179124
29472.0,1.021799
29474.01,1.205543
29476.0,1.37962
29478.01,1.531943
29480.01,1.681043
29482.01,1.817203
29484.0,1.934076
29486.0,2.04526
29488.0,2.148436
29490.0,2.241895
29492.01,2.322513
29494.0,2.405497
29496.01,2.480476
29498.01,2.546541
29500.0,2.608578
29502.0,2.66417
29504.0,2.714977
29506.01,2.761707
29508.0,2.801991
29510.01,2.8454976
29512.0,2.88417
29514.01,2.917252
29516.01,2.949479
29518.0,2.977678
29520.0,3.004266
29522.0,3.025214
29524.01,3.049384
29526.0,3.06872
29528.01,3.089668
29530.01,3.107442
29532.0,3.123556
29534.01,3.138058
29536.01,3.150144
29538.0,3.1590052
29540.0,3.174314
29542.01,3.185593
29544.0,3.195261
29546.01,3.20493
29548.01,3.211375
29550.0,3.221849
29552.01,3.224265
29554.01,3.231516
29556.0,3.237962
29558.0,3.243602
29560.01,3.249242
29562.0,3.254076
29564.0,3.258105
29566.01,3.262133
29568.0,3.262939
29570.01,3.267772
29572.01,3.272606
29574.0,3.275024
29576.0,3.275829
29578.0,3.279052
29580.0,3.280663
29582.0,3.28308
29584.01,3.283885
29586.0,3.287109
29588.01,3.075165
29590.01,2.822132
29592.01,2.589242
29594.0,2.37891
29596.0,2.185498
29598.01,2.005782
29600.0,1.8445956
29602.01,1.6939336
29604.0,1.556113
29606.01,1.4303776
29608.01,1.3159716
29610.0,1.206349
29612.0,1.1112796
29614.0,1.0226048
29616.01,0.9396196
29618.0,0.8638862
29620.01,0.793742
29622.01,0.7308992
29624.0,0.6712794
29626.01,0.616443
29628.0,0.5672968
29630.0,0.5245958
29632.0,0.4835064
29634.01,0.4440283
29636.0,0.4109452
29638.01,0.3771068
29640.01,0.3472969
29642.0,0.3207094
29644.01,0.2933164
29646.01,0.2707576
29648.0,0.24980992
29650.0,0.2304737
29652.01,0.2127489
29654.0,0.19739064
29656.0,0.1812771
29658.01,0.164358
29660.0,0.1546898
29662.01,0.144216
29664.01,0.13374224
29666.0,0.1208514
29668.0,0.1127947
29670.01,0.10554354
29672.0,0.0982925
29674.0,0.08701304
29676.01,0.082179
29678.0,0.0773449
29680.01,0.07170516
29682.01,0.06687112
29684.01,0.06525976
29686.0,0.05800869
29688.0,0.05720302
29690.0,0.04914626
29692.0,0.04672923
29694.01,0.04028382
29696.0,0.04028382
29698.01,0.03786679
29700.01,0.03464409
29702.0,0.03464409
29704.0,0.03142138
29706.0,0.02981002
29708.01,0.02739299
29710.0,0.1192401
29712.01,0.3811353
