time_s,raw_code,volts
0.0002304,6,0.24
0.0002308,6,0.24
0.00023119999999999998,6,0.24
0.0002316,6,0.24
0.000232,5,0.2
0.00023239999999999998,5,0.2
0.0002328,6,0.24
0.00023319999999999998,5,0.2
0.00023359999999999999,5,0.2
0.000234,5,0.2
0.00023439999999999998,5,0.2
0.0002348,4,0.16
0.0002352,5,0.2
0.00023559999999999998,4,0.16
0.000236,5,0.2
0.0002364,5,0.2
0.00023679999999999998,5,0.2
0.0002372,4,0.16
0.0002376,4,0.16
0.00023799999999999998,4,0.16
0.0002384,4,0.16
0.00023879999999999998,4,0.16
0.0002392,4,0.16
0.0002396,4,0.16
0.00023999999999999998,4,0.16
0.0002404,3,0.12
0.0002408,4,0.16
0.00024119999999999998,4,0.16
0.0002416,4,0.16
0.000242,3,0.12
0.00024239999999999998,4,0.16
0.0002428,4,0.16
0.0002432,4,0.16
0.00024359999999999999,3,0.12
0.000244,3,0.12
0.0002444,3,0.12
0.0002448,3,0.12
0.0002452,3,0.12
0.0002456,3,0.12
0.00024599999999999996,3,0.12
0.00024639999999999997,3,0.12
0.0002468,3,0.12
0.0002472,3,0.12
0.0002476,3,0.12
0.000248,3,0.12
0.00024839999999999997,3,0.12
0.0002488,3,0.12
0.0002492,3,0.12
0.0002496,3,0.12
0.00025,2,0.08
0.0002504,3,0.12
0.00025079999999999997,2,0.08
0.0002512,2,0.08
0.0002516,2,0.08
0.000252,3,0.12
0.0002524,2,0.08
0.00025279999999999996,2,0.08
0.0002532,2,0.08
0.0002536,3,0.12
0.000254,2,0.08
0.0002544,2,0.08
0.0002548,2,0.08
0.00025519999999999997,2,0.08
0.0002556,2,0.08
0.000256,2,0.08
0.0002564,2,0.08
0.0002568,2,0.08
0.00025719999999999996,2,0.08
0.0002576,2,0.08
0.000258,2,0.08
0.0002584,2,0.08
0.0002588,2,0.08
0.0002592,2,0.08
0.00025959999999999997,2,0.08
0.00026,2,0.08
0.0002604,2,0.08
0.0002608,2,0.08
0.0002612,1,0.04
0.00026159999999999996,2,0.08
0.00026199999999999997,2,0.08
0.0002624,2,0.08
0.0002628,1,0.04
0.0002632,2,0.08
0.0002636,1,0.04
0.00026399999999999997,2,0.08
0.0002644,1,0.04
0.0002648,2,0.08
0.0002652,1,0.04
0.0002656,2,0.08
0.000266,1,0.04
0.00026639999999999997,2,0.08
0.0002668,2,0.08
0.0002672,2,0.08
0.0002676,1,0.04
0.000268,2,0.08
0.00026839999999999996,1,0.04
0.0002688,1,0.04
0.0002692,1,0.04
0.0002696,2,0.08
0.00027,1,0.04
0.0002704,2,0.08
0.00027079999999999997,1,0.04
0.0002712,2,0.08
0.0002716,2,0.08
0.000272,1,0.04
0.0002724,1,0.04
0.00027279999999999996,2,0.08
0.00027319999999999997,1,0.04
0.0002736,1,0.04
0.000274,1,0.04
0.0002744,2,0.08
0.0002748,1,0.04
0.00027519999999999997,1,0.04
0.0002756,0,0.0
0.000276,2,0.08
0.0002764,1,0.04
0.0002768,1,0.04
0.00027719999999999996,1,0.04
0.00027759999999999997,3,0.12
0.000278,3,0.12
0.0002784,4,0.16
0.0002788,5,0.2
0.0002792,10,0.4
